character	width
!	4
""""	8
#	8
$	8
%	8
&	10
'	3
(	5
)	5
*	8
+	8
","	3
-	8
.	3
/	8
0	8
1	8
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
:	3
;	3
<	8
=	8
>	8
?	7
@	11
A	10
B	10
C	11
D	10
E	9
F	9
G	11
H	10
I	4
J	9
K	10
L	9
M	12
N	10
O	11
P	10
Q	11
R	10
S	10
T	9
U	10
V	10
W	12
X	10
Y	9
Z	9
[	5
\	8
]	5
^	7
_	5
`	7
a	8
b	8
c	8
d	8
e	8
f	5
g	7
h	8
i	3
j	4
k	7
l	3
m	12
n	8
o	8
p	8
q	8
r	6
s	7
t	6
u	8
v	8
w	10
x	7
y	8
z	7
{	4
|	4
}	4
~	7
｡	7
｢	7
｣	7
､	7
･	7
ｦ	9
ｧ	8
ｨ	7
ｩ	8
ｪ	8
ｫ	8
ｬ	8
ｭ	8
ｮ	7
ｯ	8
ｰ	10
ｱ	10
ｲ	9
ｳ	10
ｴ	10
ｵ	10
ｶ	9
ｷ	10
ｸ	9
ｹ	10
ｺ	9
ｻ	11
ｼ	9
ｽ	10
ｾ	10
ｿ	9
ﾀ	9
ﾁ	10
ﾂ	10
ﾃ	10
ﾄ	7
ﾅ	10
ﾆ	10
ﾇ	9
ﾈ	10
ﾉ	8
ﾊ	10
ﾋ	8
ﾌ	9
ﾍ	10
ﾎ	10
ﾏ	10
ﾐ	7
ﾑ	11
ﾒ	8
ﾓ	10
ﾔ	11
ﾕ	10
ﾖ	8
ﾗ	9
ﾘ	8
ﾙ	11
ﾚ	9
ﾛ	9
ﾜ	9
ﾝ	9
ﾞ	4
ﾟ	4
　	11
、	11
。	11
，	11
．	11
・	8
：	8
；	8
？	16
！	16
゛	8
゜	8
´	8
｀	8
¨	8
＾	8
￣	16
＿	16
ヽ	12
ヾ	12
ゝ	12
ゞ	11
〃	16
仝	16
々	16
〆	16
〇	16
ー	15
―	16
‐	8
／	16
＼	16
～	16
∥	16
｜	16
…	16
‥	16
‘	8
’	8
“	8
”	8
（	8
）	8
〔	8
〕	8
［	8
］	8
｛	8
｝	8
〈	8
〉	8
《	8
》	8
「	8
」	8
『	8
』	8
【	8
】	8
＋	16
－	16
±	16
×	16
÷	16
＝	16
≠	16
＜	16
＞	16
≦	16
≧	16
∞	16
∴	16
♂	16
♀	16
°	16
′	16
″	16
℃	16
￥	16
＄	16
￠	16
￡	16
％	16
＃	16
＆	16
＊	16
＠	16
§	16
☆	16
★	16
○	16
●	16
◎	16
◇	16
◆	16
□	16
■	16
△	16
▲	16
▽	16
▼	16
※	16
〒	16
→	16
←	16
↑	16
↓	16
〓	16
∈	16
∋	16
⊆	16
⊇	16
⊂	16
⊃	16
∪	16
∩	16
∧	16
∨	16
￢	16
⇒	16
⇔	16
∀	16
∃	16
∠	16
⊥	16
⌒	16
∂	16
∇	16
≡	16
≒	16
≪	16
≫	16
√	16
∽	16
∝	16
∵	16
∫	16
∬	16
Å	16
‰	16
♯	16
♭	16
♪	16
†	8
‡	8
¶	8
◯	16
０	11
１	11
２	11
３	11
４	11
５	11
６	11
７	11
８	11
９	11
Ａ	11
Ｂ	12
Ｃ	12
Ｄ	12
Ｅ	11
Ｆ	10
Ｇ	12
Ｈ	12
Ｉ	4
Ｊ	10
Ｋ	12
Ｌ	10
Ｍ	15
Ｎ	12
Ｏ	13
Ｐ	11
Ｑ	13
Ｒ	12
Ｓ	12
Ｔ	10
Ｕ	12
Ｖ	11
Ｗ	16
Ｘ	10
Ｙ	10
Ｚ	10
ａ	9
ｂ	10
ｃ	9
ｄ	10
ｅ	9
ｆ	5
ｇ	9
ｈ	10
